name	upstream	branch	commit
AriGraph	https://github.com/AIRI-Institute/AriGraph.git	main	e884b76d7fa5185a3a8a55e5a67393b5a43f5ef2
HGRAG	https://github.com/MF-AIR/HGRAG.git	main	dfff451d6cbf72babae28b530179d21de72b8eb9
HippoRAG	https://github.com/OSU-NLP-Group/HippoRAG.git	main	1e8f60981bf760b64003aa5bf5668126d0c106b3
HyperGraphRAG	https://github.com/LHRLAB/HyperGraphRAG.git	main	d587cdf8c3fe2be7719557f845324cb3a321f5e2
ProveRAG	https://github.com/RezzFayyazi/ProveRAG.git	master	18fe54ba20ff9564c2f2a47a2af86ec61eb8f14b
SiReRAG	https://github.com/SalesforceAIResearch/SiReRAG.git	main	70c9434776ca0eaac17590285285c26313817365
T-GRAG	https://github.com/Arvin0313/T-GRAG.git	main	8c6d4ea19e4e4fafb4504f691cb7f3873c0ac595
Tiermem	https://github.com/FreedomIntelligence/Tiermem.git	main	5ceda3465c08e234c00549ac43abf7eb539323f9
gfm-rag	https://github.com/RManLuo/gfm-rag.git	main	57e3e28045fffff5411e2454a4323fbe4dff9b91
graphiti	https://github.com/getzep/graphiti.git	main	4674e1ed834810f5d90e1abd627cff493b25f0ae
zep	https://github.com/getzep/zep.git	main	0375d7be4a72cda6a43ecdc6fd9055846eb0fd0e
